RA(deg),Dec(deg),VTMag,Altitude (deg),Azimuth (deg)
0.22045719,66.84796687,6.9,14.879194509658186,23.667647178281037
0.22187281,35.75272213,9.93,14.489523777258011,55.838455826273155
0.22316216,-50.446465,7.42,-3.753625570844711,140.9261471059267
0.22821959,32.82567452,9.03,14.216339863194648,58.846609276272616
0.23052169,-30.06417333,8.41,1.5668296187859816,121.24094309476048
0.23231307,17.86784193,8.06,12.278979637809742,74.08682454534797
0.23572286,35.31675386,8.69,14.440777934760389,56.28601949067653
0.24179216,-11.82353722,8.4,6.18471941187671,103.549850378854
0.24386443,-4.93211471,8.57,7.800742166268833,96.80041244628545
0.24803173,-10.9358054,9.5,6.392435845869148,102.68155809641776
0.248081,52.08056444,8.85,15.247192374848797,38.95904707402683
0.25180722,27.88634368,9.61,13.65876855181399,63.90331702552223
0.2560073,-24.71404902,10.62,2.9374252711372275,116.06547669829898
0.26038262,69.6034983,8.05,14.680445574390307,20.825133016669284
0.26151556,-5.83497569,7.8,7.577307901565564,97.6832636531426
0.26915958,-48.80985919,5.71,-3.3632824387004923,139.33351069848058
0.27715178,53.16694253,7.87,15.237115266215682,37.83295490415351
0.27999988,-41.88742972,7.64,-1.575674558243436,132.63976270105357
0.28056847,-5.87433293,7.66,7.5498275707255935,97.71751592125885
0.29062512,-20.70558648,8.68,3.933922212964811,112.17589271452908
0.29222255,-0.07592034,8.12,8.830433581153413,92.00408079148018
0.29485302,-32.75680569,10.1,0.8080633110519507,123.82546312548627
0.30203883,-11.96400015,8.67,6.093593425184589,103.6726166330324
0.30489357,13.97474826,10.46,11.56377176237194,77.99860799839364
0.30717811,-52.79857954,9.87,-4.400737954617885,143.19371512810733
0.30733362,-21.40404527,9.48,3.741113886654114,112.84886521276728
0.3160162,60.35529798,7.04,15.12817711183659,30.38502554677198
0.31645128,19.74131648,8.44,12.49171469522238,72.17941907885813
0.3197615,-47.79382994,9.88,-3.134905607715913,138.34136962889352
0.320432,-41.4873557,7.05,-1.5003030710051688,132.24557436735432
0.32214393,-68.37102958,8.29,-8.127737593827177,158.40690376679467
0.32673657,-31.89961642,9.34,1.0066337883415275,122.99109799872154
0.32784438,70.9289578,7.73,14.558075449096288,19.46094244335009
0.33016464,49.98158501,6.22,15.164326490042454,41.1331538674357
0.33380226,-50.33739907,5.53,-3.7940273976313312,140.80244198635603
0.33655323,-70.12530771,8.53,-8.52027497738175,160.13482999297557
0.34660201,6.79149102,7.23,10.194228887874997,85.1793792738373
0.34870816,39.61081788,8.61,14.686430972274392,51.8556737311518
0.34908697,34.28185977,11.28,14.254991764170773,57.341248819212744
0.35691658,-16.94782618,10.76,4.81889937813975,108.51276216177935
0.36562073,49.01041081,8.93,15.119025023688199,42.13844681438319
0.37167609,30.73587929,7.95,13.879380948361618,60.97633135301196
0.37259669,-62.9231576,7.46,-6.901072407934285,153.05304726919604
0.37539303,-33.79270439,8.6,0.47171656704461923,124.80755154794925
0.3804081,-72.60590348,8.55,-9.067656430734864,162.58299196641292
0.38648579,-9.43003605,9.2,6.6187790790976235,101.17705549524868
0.39020229,44.67544581,6.82,14.947068708189553,46.623600273839614
0.39598898,-45.34468907,8.29,-2.5548703051825816,135.9585180917732
0.39647681,28.42377416,6.83,13.595977271306927,63.3386526680968
0.39937928,-77.06529438,4.78,-9.987841277588892,167.00731847203073
0.4002411,72.23660619,7.21,14.430719228540841,18.11648860061667
0.40424537,61.22280406,5.58,15.058865158592884,29.488274942372055
0.40473165,-39.33667992,8.7,-1.000821070895216,130.152334398372
0.40873313,14.63230674,8.06,11.577839655817002,77.31976874102301
0.41208753,-48.93516169,10.86,-3.48619799801418,139.4307797314336
0.41376473,73.61187664,6.5,14.309555304356842,16.702279826362833
0.41560234,5.37275092,9.32,9.845186042107882,86.57749760069242
0.41825279,-30.69250699,9.14,1.2463704329522898,121.80528894165239
0.4199422,62.01815066,8.13,15.024851317088494,28.66541663725086
0.42200516,-34.65350786,10.62,0.20941968755347454,125.62829097698811
0.4233689,-40.14866597,6.62,-1.2263643715406927,130.93260100817594
0.42514055,-1.13997217,9.96,8.469798867660403,93.0255130317538
0.42674592,-0.21749947,8.64,8.668529681527978,92.11456862371925
0.42864226,24.2531808,6.6,13.038067542710596,67.58605574303272
0.43268925,42.36714821,6.25,14.797037904749754,49.007066628783576
0.43720393,-16.53172119,7.83,4.847854390670843,108.08911995463907
0.4452924,67.5069762,10.03,14.752301643790474,22.99266397102348
0.45267471,-68.10481108,9.04,-8.115698175111255,158.13386504777083
0.45342986,36.3503456,8.47,14.353684250454926,55.207222566474805
0.45374866,66.30600204,7.33,14.817842729368207,24.23294097607797
0.4550899,76.17561121,8.66,14.059293245207172,14.070449273944535
0.4551821,21.4621375,10.35,12.620343289010528,70.4163812456602
0.45598912,-3.02747891,5.13,8.023429806985632,94.87882838861894
0.45619148,-25.79769516,8.96,2.482963487883663,117.06680154285021
0.46604367,21.02624872,8.49,12.546108011016845,70.85658395962223
0.47868501,26.00557721,11.26,13.224679240326205,65.79626814238262
0.47879268,15.52852839,8.15,11.663314516694822,76.40637584164595
0.48036559,-37.22984397,7.04,-0.5086451583496701,128.10286693211106
0.48445318,-28.13095543,10.02,1.8559939685799474,119.31588475770893
